Year,Week,Sex,Age,Deaths
2000,3,f,45,563.2712535344015
2000,3,f,50,682.5404335532517
2000,3,f,55,760.7168708765316
2000,3,f,60,1658.7436380772856
2000,3,f,65,1992.4968897266729
2000,3,f,70,3392.656927426956
2000,3,f,75,3205.233930254477
2000,3,f,80,2865.467106503299
2000,3,f,85,3107.0122525918946
2000,3,f,90,1338.0197926484448
2000,3,f,95,343.7758718190386
2000,3,f,TOT,21268.0
2000,3,f,UNK,48.0
2000,3,b,0,403.0
2000,3,b,1,99.0
2000,3,b,5,62.0
2000,3,b,10,58.0
2000,3,b,15,283.0
2000,3,b,20,588.0
2000,3,b,25,590.0
2000,3,b,30,693.0
2000,3,b,35,1208.0
2000,3,b,40,1790.0
2000,3,b,45,2305.0
2000,3,b,50,2389.0
2000,3,b,55,2405.0
2000,3,b,60,4797.0
2000,3,b,65,4771.0
2000,3,b,70,6674.0
2000,3,b,75,4803.0
2000,3,b,80,3928.0
2000,3,b,85,3906.0
2000,3,b,90,1596.0
2000,3,b,95,390.0
2000,3,b,TOT,43914.0
2000,3,b,UNK,176.0
2000,4,m,0,237.47571447443744
2000,4,m,1,70.43771192038399
2000,4,m,5,35.218855960191995
2000,4,m,10,54.33766348143908
2000,4,m,15,212.31938878858602
2000,4,m,20,447.7825972081554
2000,4,m,25,507.1515258267647
2000,4,m,30,540.3578757320886
2000,4,m,35,899.5902065260469
2000,4,m,40,1377.560394557224
2000,4,m,45,1768.992822229072
2000,4,m,50,1763.9615570919018
2000,4,m,55,1619.0611211413977
2000,4,m,60,3135.4844334845216
2000,4,m,65,2856.7523448852876
2000,4,m,70,3337.741291998767
2000,4,m,75,1639.186181690079
2000,4,m,80,1071.6594742172706
2000,4,m,85,901.6027125809151
2000,4,m,90,312.94469153199174
2000,4,m,95,61.38143467347748
2000,4,m,TOT,22851.0
2000,4,m,UNK,142.0
2000,4,f,0,150.32681221914575
2000,4,f,1,54.11765239889247
2000,4,f,5,16.034859970042213
2000,4,f,10,31.06754119195679
2000,4,f,15,69.15033362080705
2000,4,f,20,80.17429985021107
2000,4,f,25,110.23966229404022
2000,4,f,30,144.31373973037992
2000,4,f,35,225.4902183287186
2000,4,f,40,385.8388180291408
2000,4,f,45,593.2898188915619
2000,4,f,50,643.3987562979438
2000,4,f,55,771.6776360582816
2000,4,f,60,1588.4533157823068
2000,4,f,65,2024.4010712178294
2000,4,f,70,3567.7563433343926
2000,4,f,75,3440.4796423221824
2000,4,f,80,3074.6843992555946
2000,4,f,85,3409.4121011302254
2000,4,f,90,1356.9500249648222
2000,4,f,95,341.7429531115247
2000,4,f,TOT,22079.0
2000,4,f,UNK,48.0
2000,4,b,0,386.0
2000,4,b,1,124.0
2000,4,b,5,51.0
2000,4,b,10,85.0
2000,4,b,15,280.0
2000,4,b,20,525.0
2000,4,b,25,614.0
2000,4,b,30,681.0
2000,4,b,35,1119.0
2000,4,b,40,1754.0
2000,4,b,45,2350.0
2000,4,b,50,2395.0
2000,4,b,55,2379.0
2000,4,b,60,4701.0
2000,4,b,65,4859.0
2000,4,b,70,6877.0
2000,4,b,75,5062.0
2000,4,b,80,4133.0
2000,4,b,85,4298.0
2000,4,b,90,1665.0
2000,4,b,95,402.0
2000,4,b,TOT,44930.0
2000,4,b,UNK,190.0
2000,5,m,0,237.40022685629526
2000,5,m,1,49.29072506762063
2000,5,m,5,29.172061774714248
2000,5,m,10,38.22546025652212
2000,5,m,15,222.31122938661548
2000,5,m,20,443.6165256085856
2000,5,m,25,491.90131751156093
2000,5,m,30,581.4293691649943
2000,5,m,35,913.3873134979495
2000,5,m,40,1373.0987697408602
2000,5,m,45,1755.3533723060814
2000,5,m,50,1774.4661024343425
2000,5,m,55,1522.9828112730129
2000,5,m,60,3138.511473693395
2000,5,m,65,2822.648459994765
2000,5,m,70,3479.522816508158
2000,5,m,75,1687.955850274845
2000,5,m,80,1151.79347351889
2000,5,m,85,946.5831079312451
2000,5,m,90,346.0410086379897
2000,5,m,95,52.30852456155658
2000,5,m,TOT,23058.0
2000,5,m,UNK,136.0
2000,5,f,0,165.32398115018762
2000,5,f,1,46.09032201762807
2000,5,f,5,20.039270442446984
2000,5,f,10,35.06872327428222
2000,5,f,15,89.17475346888908
2000,5,f,20,116.22776856619251
2000,5,f,25,131.25722139802775
2000,5,f,30,136.2670390086395
2000,5,f,35,248.4869534863426
2000,5,f,40,439.8619862117113
2000,5,f,45,583.1427698752073
2000,5,f,50,673.3194868662187
2000,5,f,55,719.4098088838467
2000,5,f,60,1648.2299938912645
2000,5,f,65,2046.0095121738373
2000,5,f,70,3692.235579020857
2000,5,f,75,3535.9292695697704
2000,5,f,80,3121.116371411118
2000,5,f,85,3588.031372720133
2000,5,f,90,1502.9452831835238
2000,5,f,95,424.83253337987605
2000,5,f,TOT,22963.0
2000,5,f,UNK,45.0
2000,5,b,0,401.0
2000,5,b,1,95.0
2000,5,b,5,49.0
2000,5,b,10,73.0
2000,5,b,15,310.0
2000,5,b,20,557.0
2000,5,b,25,620.0
2000,5,b,30,714.0
2000,5,b,35,1156.0
2000,5,b,40,1804.0
2000,5,b,45,2327.0
2000,5,b,50,2436.0
2000,5,b,55,2232.0
2000,5,b,60,4765.0
2000,5,b,65,4848.0
2000,5,b,70,7144.0
2000,5,b,75,5207.0
2000,5,b,80,4260.0
2000,5,b,85,4522.0
2000,5,b,90,1844.0
2000,5,b,95,476.0
2000,5,b,TOT,46021.0
2000,5,b,UNK,181.0
2000,6,m,0,227.27886140523856
2000,6,m,1,56.31688601191752
2000,6,m,5,41.2320058301539
2000,6,m,10,54.30556865434904
2000,6,m,15,215.21095725982767
2000,6,m,20,466.62562695588804
2000,6,m,25,556.1292493676855
2000,6,m,30,526.9651476829425
2000,6,m,35,934.2569125905603
2000,6,m,40,1411.944785013075
2000,6,m,45,1769.959274660265
2000,6,m,50,1731.7442448664638
2000,6,m,55,1600.0029579457282
2000,6,m,60,3189.9493291036138
2000,6,m,65,2838.9744502079134
2000,6,m,70,3631.433489089896
2000,6,m,75,1793.0894242723025
2000,6,m,80,1123.3207442019977
2000,6,m,85,950.3474514511082
2000,6,m,90,294.65799288378275
2000,6,m,95,45.25464054529086
2000,6,m,TOT,23459.0
2000,6,m,UNK,132.0
2000,6,f,0,179.34516004627844
2000,6,f,1,39.07520246818357
2000,6,f,5,19.036637099884302
2000,6,f,10,30.0578480524489
2000,6,f,15,84.16197454685692
2000,6,f,20,117.22560740455071
2000,6,f,25,94.18125723100655
2000,6,f,30,160.30852294639413
2000,6,f,35,277.53413035094485
2000,6,f,40,432.83301195526417
2000,6,f,45,647.2456613960663
2000,6,f,50,694.3362900115696
2000,6,f,55,745.4346317007328
2000,6,f,60,1722.314693405322
2000,6,f,65,2073.991515618974
2000,6,f,70,3619.9668337832627
2000,6,f,75,3559.851137678365
2000,6,f,80,3260.274585422291
2000,6,f,85,3644.013112225222
2000,6,f,90,1584.0485923640572
2000,6,f,95,396.7635942923255
2000,6,f,TOT,23382.0
2000,6,f,UNK,45.0
2000,6,b,0,405.0
2000,6,b,1,95.0
2000,6,b,5,60.0
2000,6,b,10,84.0
2000,6,b,15,298.0
2000,6,b,20,581.0
2000,6,b,25,647.0
2000,6,b,30,684.0
2000,6,b,35,1206.0
2000,6,b,40,1836.0
2000,6,b,45,2406.0
2000,6,b,50,2415.0
2000,6,b,55,2335.0
2000,6,b,60,4891.0
2000,6,b,65,4893.0
2000,6,b,70,7224.0
2000,6,b,75,5336.0
2000,6,b,80,4371.0
2000,6,b,85,4582.0
2000,6,b,90,1874.0
2000,6,b,95,441.0
2000,6,b,TOT,46841.0
2000,6,b,UNK,177.0
2000,7,m,0,222.20331878484075
2000,7,m,1,54.29402359448598
2000,7,m,5,33.179681085519206
2000,7,m,10,45.24501966207165
2000,7,m,15,189.02363769932154
2000,7,m,20,446.4175273324403
2000,7,m,25,510.76599974071996
2000,7,m,30,537.9130115379629
2000,7,m,35,966.2325310055745
2000,7,m,40,1296.0184520980079
2000,7,m,45,1761.5394321766562
2000,7,m,50,1713.2780778704464
2000,7,m,55,1628.8207078345793
2000,7,m,60,3273.7285337712287
2000,7,m,65,2961.0351756622445
2000,7,m,70,3576.367443066419
2000,7,m,75,1706.239963700791
2000,7,m,80,1101.9675899917895
2000,7,m,85,887.8078302579837
2000,7,m,90,294.5953502441554
2000,7,m,95,60.326692882762195
2000,7,m,TOT,23267.0
2000,7,m,UNK,126.0
2000,7,f,0,157.27234485450367
2000,7,f,1,46.07979530768897
2000,7,f,5,26.04510169565029
2000,7,f,10,24.04163233444642
2000,7,f,15,72.12489700333926
2000,7,f,20,99.17173337959149
2000,7,f,25,133.23071252005724
2000,7,f,30,136.23591656186304
2000,7,f,35,242.41979270566807
2000,7,f,40,416.7216271304046
2000,7,f,45,554.9610130534716
2000,7,f,50,651.1275423912572
2000,7,f,55,753.3044798126544
2000,7,f,60,1712.9663038293074
2000,7,f,65,2084.609870332625
2000,7,f,70,3659.3367882388657
2000,7,f,75,3522.0991369964004
2000,7,f,80,3142.4416930482676
2000,7,f,85,3610.251788889371
2000,7,f,90,1626.817121297541
2000,7,f,95,427.7407086170259
2000,7,f,TOT,23099.0
2000,7,f,UNK,40.0
2000,7,b,0,378.0
2000,7,b,1,100.0
2000,7,b,5,59.0
2000,7,b,10,69.0
2000,7,b,15,260.0
2000,7,b,20,543.0
2000,7,b,25,641.0
2000,7,b,30,671.0
2000,7,b,35,1203.0
2000,7,b,40,1705.0
2000,7,b,45,2306.0
2000,7,b,50,2354.0
2000,7,b,55,2372.0
2000,7,b,60,4966.0
2000,7,b,65,5026.0
2000,7,b,70,7210.0
2000,7,b,75,5213.0
2000,7,b,80,4233.0
2000,7,b,85,4487.0
2000,7,b,90,1917.0
2000,7,b,95,487.0
2000,7,b,TOT,46366.0
2000,7,b,UNK,166.0
2000,8,m,0,230.30600953353763
2000,8,m,1,49.279451821586655
2000,8,m,5,30.171092951991827
2000,8,m,10,49.279451821586655
2000,8,m,15,198.12351038474634
2000,8,m,20,473.6861593462717
2000,8,m,25,546.0967824310521
2000,8,m,30,600.4047497446373
2000,8,m,35,980.5605209397344
2000,8,m,40,1468.3265236636023
2000,8,m,45,1861.5564351378957
2000,8,m,50,1867.5906537282942
2000,8,m,55,1708.6895641811373
2000,8,m,60,3199.1415560095334
2000,8,m,65,2834.071331290432
2000,8,m,70,3499.846782431052
2000,8,m,75,1684.5526898195437
2000,8,m,80,1105.2677051413007
2000,8,m,85,895.0757575757576
2000,8,m,90,295.6767109295199
2000,8,m,95,52.29656111678584
2000,8,m,TOT,23630.0
2000,8,m,UNK,134.0
2000,8,f,0,141.32530280846532
2000,8,f,1,50.115355605838765
2000,8,f,5,22.05075646656906
2000,8,f,10,23.053063578685833
2000,8,f,15,55.126891166422645
2000,8,f,20,74.17072629664138
2000,8,f,25,123.28377479036337
2000,8,f,30,150.34606681751632
2000,8,f,35,270.6229202715293
2000,8,f,40,435.0012866586805
2000,8,f,45,606.3958028306491
2000,8,f,50,715.6472780513776
2000,8,f,55,753.7349483118151
2000,8,f,60,1731.9866897377879
2000,8,f,65,2067.7595722969077
2000,8,f,70,3469.9872221482765
2000,8,f,75,3465.9779936998093
2000,8,f,80,3081.0920626469674
2000,8,f,85,3562.1994764630194
2000,8,f,90,1404.2322640756022
2000,8,f,95,386.8905452770753
2000,8,f,TOT,22591.0
2000,8,f,UNK,52.0
2000,8,b,0,370.0
2000,8,b,1,99.0
2000,8,b,5,52.0
2000,8,b,10,72.0
2000,8,b,15,252.0
2000,8,b,20,545.0
2000,8,b,25,666.0
2000,8,b,30,747.0
2000,8,b,35,1245.0
2000,8,b,40,1894.0
2000,8,b,45,2456.0
2000,8,b,50,2571.0
2000,8,b,55,2451.0
2000,8,b,60,4909.0
2000,8,b,65,4881.0
2000,8,b,70,6942.0
2000,8,b,75,5133.0
2000,8,b,80,4173.0
2000,8,b,85,4444.0
2000,8,b,90,1695.0
2000,8,b,95,438.0
2000,8,b,TOT,46221.0
2000,8,b,UNK,186.0
2000,9,m,0,215.5343184401504
2000,9,m,1,48.34414619218327
2000,9,m,5,34.243770219463144
2000,9,m,10,60.43018274022908
2000,9,m,15,253.80676750896214
2000,9,m,20,477.39844364780976
2000,9,m,25,497.54183789455277
2000,9,m,30,533.7999475386902
2000,9,m,35,988.0334878027455
2000,9,m,40,1369.7508087785259
2000,9,m,45,1750.460960041969
2000,9,m,50,1816.934161056221
2000,9,m,55,1550.034187286876
2000,9,m,60,3091.0038471627176
2000,9,m,65,2872.448019585556
2000,9,m,70,3495.886071522252
2000,9,m,75,1669.887383054997
2000,9,m,80,1077.671592200752
2000,9,m,85,889.3308559937046
2000,9,m,90,303.15808341348253
2000,9,m,95,42.301127918160354
2000,9,m,TOT,23038.0
2000,9,m,UNK,164.0
2000,9,f,0,153.3715395823215
2000,9,f,1,49.11898980087421
