DaysToCase,2014,2015,2016,2017,2018
1,0.17687398038511468,0.010763581106749399,0.009515972234988283,0.006484343059115228,0.006927359504490049
2,0.04345853369105936,0.05212950065425689,0.05168903100368636,0.046599346729912824,0.04563907438252268
3,0.12148123796024107,0.14847410409016082,0.15409386857793528,0.1483705615221281,0.1500588316193212
4,0.3265019370571818,0.402473513148453,0.429624519200096,0.40796409212602924,0.4112610341121519
5,0.5017997011944342,0.629036342915031,0.6564939481660667,0.6565672107653284,0.6339552675947291
6,0.5884915948268583,0.7244312186062218,0.7624672753284362,0.7399844375766581,0.7412274669804353
7,0.6204662672834926,0.7521843738128403,0.7926372327552741,0.7824074277600221,0.770668744874518
8,0.5905181585741098,0.6944620319952725,0.7608452346065632,0.7316317244835605,0.7417368316498831
9,0.4249028656737255,0.502933603478114,0.5182960786624868,0.527649678420546,0.5200613275062016
10,0.5917566141974301,0.7148284158541218,0.7406237936072131,0.7330604780389588,0.7332813781370496
11,0.5864650310796068,0.7383605588620151,0.7621428671840617,0.7571294802414373,0.7311420465253688
12,0.6137110547926544,0.7357224262378118,0.736730895874718,0.7364675057479855,0.7141292665658124
13,0.6147243366662801,0.7320290405639273,0.7346763109603454,0.7150362024170114,0.7077112717307702
14,0.6087572322993731,0.7207378329323372,0.7411644738478375,0.7118489829472768,0.7058775589207582
15,0.612810359793876,0.7256975222658393,0.7222406654259858,0.7278949844155959,0.7121936808219108
16,0.6105586222969299,0.6964670127896669,0.7362983516822184,0.7115192705883387,0.6990520723501576
17,0.6121348385447921,0.7188383774429108,0.7250522026772322,0.712728215904445,0.6973202324740352
18,0.600988737934909,0.7023764298678823,0.7060202582072558,0.707452818161436,0.6656377500343821
19,0.5873657260783852,0.6948841332151451,0.6846093206785321,0.6664585815334703,0.6802055795805891
20,0.5884915948268583,0.6777890338103076,0.6838523683416581,0.6640406909012577,0.6660452417699404
21,0.5862398573299122,0.6790553374699253,0.671741130951673,0.6699755133621429,0.6462818925953658
22,0.5893922898256367,0.6502469292136254,0.6623332947648095,0.6540394160134698,0.6452631632564703
23,0.5777958417163643,0.6558397703769364,0.6457884794017049,0.6517314295009035,0.6397620248264341
24,0.5543777717481251,0.6418049048161749,0.6422199898135843,0.6349160991950622,0.6250923223463374
25,0.5471722117578977,0.6087754843611498,0.6256751744504796,0.6244752078286903,0.6141919184201545
26,0.5394037173934337,0.6085644337512136,0.6095629032798745,0.6138145082230262,0.5901499060222185
27,0.5230786205405746,0.596006922460006,0.5908553669542725,0.5935921502081584,0.5794532479638148
28,0.5218401649172543,0.5622388248702039,0.5760407283611657,0.5712816139200162,0.5690622087070797
29,0.5121576936803861,0.5618167236503314,0.56857934104055,0.565236887339485,0.557652440111449
30,0.5149723655515687,0.5493647376640919,0.5554948792174411,0.5623793802286885,0.5501138430036215
31,0.49966055057233544,0.5279431007555612,0.5280283229937248,0.538640090385148,0.5426771188296837
32,0.4931305118311917,0.5197121269680469,0.5306235881487217,0.5405084604191304,0.509772161183356
33,0.4736529824826081,0.49364737664091846,0.5142950448818667,0.5179781158916961,0.5022335640755285
34,0.45552649563219216,0.48604955468321304,0.49385733178626695,0.4859960170747041,0.48960132027322323
35,0.44302935252414144,0.463572664725001,0.46941858491004707,0.4663231796580663,0.47645971180147
36,0.4446055687720037,0.4723312650373559,0.46314669411880477,0.4935794013302795,0.46596679961084536
37,0.43503568440998286,0.45924612722130764,0.4653094150813021,0.4632458643079777,0.4651518161397289
38,0.43098255691547993,0.45565826685239125,0.4827193188294056,0.4680816455724026,0.46841175002419483
39,0.4485461093916594,0.47254231564729227,0.48964002590939715,0.49555767548390783,0.5008073430010748
40,0.3760401619899955,0.41281499303532987,0.41913532253198393,0.42741712130337495,0.44345288122125276
41,0.5696895867273585,0.6146849014393652,0.6350830106373431,0.6431589081685137,0.6493380806120527
42,0.5546029454978197,0.5803891773247224,0.5867461971255276,0.5904049307384238,0.61062636573402
43,0.5523512080008737,0.5854543919631928,0.5860973808367783,0.586668190670459,0.5881124473444274
44,0.5435694317627839,0.5796505001899456,0.5642538991155552,0.5787550940559456,0.5997259618078371
45,0.5290457249074817,0.5749018614663797,0.5785278574680377,0.5884266565847954,0.5936135857744635
46,0.5281450299087033,0.57205267823224,0.575067503928042,0.5668854491341754,0.57130341325265
47,0.5341121342756103,0.5656156346291841,0.5676061166074262,0.570512285082494,0.5642741808142704
48,0.5281450299087033,0.5572791355367017,0.5361385266030898,0.5630388049465646,0.5544943791608726
49,0.5204891224190866,0.5544299523025622,0.5446812744049544,0.5606209143143521,0.5504194618052902
50,0.528032443033856,0.5399729855219282,0.5510613012443215,0.5431461592906348,0.5536793956897562
51,0.5149723655515687,0.5373348528977249,0.5533321582549438,0.5501800229479802,0.5385003285402118
52,0.5043891993159222,0.5435608458908446,0.5420860092499575,0.5411678851370064,0.5419640082924568
53,0.5003360718214193,0.5330083153940315,0.5472765395599511,0.5427065428120508,0.5289242727545932
54,0.5014619405698922,0.513275083364991,0.5292178195230984,0.5267704454633777,0.5395190578791075
55,0.48524943059188047,0.5200287028829513,0.5099696029568721,0.5210554312417847,0.52271002378733
56,0.4944815543293594,0.5089485458612976,0.5020756714437569,0.5206158147632006,0.5075309566377857
57,0.4868256468397427,0.4994512684141657,0.5039139842618796,0.4999538402697487,0.5145601890761653
58,0.46982502873779985,0.4963910345700899,0.5071580657056256,0.5119333893111649,0.49469496696770116
59,0.4724145268592878,0.4902705668819383,0.49126206663127014,0.5018222103037311,0.4996867407282896
60,0.4728648743586771,0.49259212359123716,0.4923434271125188,0.5018222103037311,0.49449122109992205
61,0.46971244186295247,0.47771305559073063,0.48477390374377816,0.48489697587824376,0.48460954651263477
62,0.4712886581108147,0.47085391076780214,0.4725545303056682,0.48511678411753584,0.4829795795704019
63,0.4477580012677282,0.46663289856907686,0.46152465339693177,0.480171098733465,0.4591413130402449
64,0.4577782331291383,0.4589295513064032,0.4560097149425635,0.4791819616566507,0.47839529754537163
65,0.4520363025119258,0.4654721202144274,0.45071104858444505,0.4772036875030224,0.47921028101648816
66,0.44483074252169835,0.43866869275252207,0.46087583710818253,0.48269889348532335,0.4594469318419136
67,0.44471815564685097,0.44088472415685276,0.459686340578809,0.4694004950081549,0.4714679380408816
68,0.43379722878666255,0.44510573635557804,0.4547120823650651,0.45654171300957047,0.4549645227507729
69,0.4158959156859412,0.44246760373137484,0.4404381240125827,0.4503870823093932,0.4441659917584796
70,0.4245651050491836,0.4232619982271749,0.4299489273444706,0.4510465070272694,0.44487910229570654
71,0.42828047191914465,0.4223122704824617,0.44108694030133194,0.4358797385161185,0.4433510082873631
72,0.4322210125388003,0.43001561774513525,0.4374103146650864,0.4364292591143486,0.4502783677918532
73,0.4147700469374681,0.43138744670972096,0.4209736353501066,0.43258261492673794,0.448240909114062
74,0.41882317443197103,0.42442277658182437,0.42054109115760724,0.4145583393047905,0.43194123969173254
75,0.4210749119289171,0.4166139040141826,0.4245421249382273,0.41840498349240124,0.4326543502289594
76,0.40812742132147717,0.40437296863787936,0.41005189448949514,0.41730594229594103,0.42593073659224845
77,0.39867012383430367,0.39930775399940904,0.41307970383699144,0.4160969969798348,0.41299287398827444
78,0.4089155294454083,0.4100713351061585,0.3983732012920095,0.416866325817357,0.41829026655053153
79,0.3920274982183127,0.40627242412730574,0.4048613641795015,0.41422862694585244,0.42827381407170834
80,0.4090281163202556,0.40057405765902665,0.4034555955538782,0.401369844947268,0.40912170250047114
81,0.3938288882158696,0.3882275969777553,0.4009684664470063,0.40290850262231226,0.406167387417674
82,0.39608062571281566,0.40331771558819807,0.4018335548320052,0.40180946142585205,0.3958782210948284
83,0.39191491134346546,0.38696129331813767,0.4034555955538782,0.40851361272425935,0.41666029960829853
84,0.3840338301041541,0.3917099320417036,0.38269347431390377,0.38895067942726763,0.4057598956821157
85,0.38211985323174996,0.3842176353889663,0.3937233512226402,0.39422607717027663,0.3941463812187059
86,0.3849345251029325,0.38136845215482673,0.3838829708432774,0.3841148981628427,0.396896950433724
87,0.3727751426194237,0.39244860917648056,0.4044288199870021,0.3814771992913382,0.3853853089042038
88,0.3861729807262529,0.38305685703431686,0.3937233512226402,0.3790593086591258,0.3953688564253806
89,0.3804310501090404,0.382423705204508,0.37836803238890915,0.3860931723164711,0.3901733367970131
90,0.3835834826047649,0.3718711747076949,0.38723518833514825,0.3794989251377099,0.3992400279131839
91,0.3815569188575134,0.37704191465113335,0.36549984266205,0.3770810345054974,0.3828384855569648
92,0.3776163782378578,0.36670043476425646,0.3745832707045388,0.38961010414514374,0.3941463812187059
93,0.38673591510048944,0.37176564940272677,0.3781517602926594,0.3824663363681524,0.3809028998130632
94,0.38797437072380975,0.3763032375163564,0.3809632975439059,0.37246506148036457,0.3853853089042038
95,0.3811065713581242,0.3707103963530454,0.37739480795578534,0.3770810345054974,0.4004625031198586
96,0.37187444762064525,0.37472035794183445,0.37890871262953346,0.3812573910520462,0.3930257789459208
97,0.3755898144906063,0.3772529652610696,0.35836286348580876,0.3790593086591258,0.37743922006081815
98,0.3620793895089298,0.3730319530623443,0.3749076788489134,0.3714759244035503,0.3886452427886697
99,0.36590734325373814,0.3673335865940653,0.3732856381270404,0.364661868985497,0.38946022625978616
100,0.3784044863617889,0.37229327592756745,0.3732856381270404,0.3740037191554088,0.38895086159033837
101,0.38211985323174996,0.37472035794183445,0.36063372049643094,0.36191426599434656,0.3786616952674929
102,0.3705234051224776,0.37039382043814106,0.3644184821808013,0.3726848697196566,0.3812085186147318
103,0.3720996213703399,0.356675530792284,0.3742588625601642,0.36664014313912546,0.3787635682013824
104,0.37187444762064525,0.37134354818285426,0.37534022304141285,0.3704867873267361,0.3842647066314186
105,0.37401359824274405,0.36859989025368284,0.3728530939345409,0.3711462120446123,0.3785598223336033
106,0.3709737526218668,0.3702882951331729,0.3689601962020457,0.3597161836014261,0.38670965704476806
107,0.375477227615759,0.3715545987927905,0.35630827857143627,0.3738938150357628,0.3838572148958604
108,0.3673709726267531,0.3626904731754675,0.370365964827669,0.3841148981628427,0.3831441043586335
109,0.3618542157592352,0.3673335865940653,0.3661486589507992,0.3755423768304531,0.3726511921680088
110,0.3781793126120943,0.371132497572918,0.36463475427705105,0.37246506148036457,0.3816160103502901
111,0.36793390700098966,0.36469545396986197,0.35457810180143845,0.3602657041996562,0.37743922006081815
112,0.3719870344954926,0.36617280823941584,0.36355339379580237,0.37488295211257694,0.3811066456808423
113,0.3720996213703399,0.37229327592756745,0.36041744840018125,0.3621340742336386,0.38650591117698896
114,0.36455630075557055,0.3621628466506268,0.37069037297204355,0.36565100606231127,0.38670965704476806
115,0.38482193822808525,0.37144907348782236,0.36560797871017486,0.3638925401479749,0.3887471157225592
116,0.3752520538660644,0.37693638934616525,0.3692846043464203,0.3765315139072673,0.38375534196197086
117,0.3862855676011002,0.3707103963530454,0.36625679499892405,0.3680688966945237,0.38691340291254717
118,0.37570240136545363,0.37503693385673886,0.36841951596142136,0.364332156626559,0.3882377510531115
119,0.3746891194918279,0.3674391118990334,0.3765297195707864,0.3779602674626656,0.39659133163205534
120,0.3825702007311392,0.3654341311046389,0.37058223692391873,0.3672995678570015,0.38772838638366364
121,0.38166950573236075,0.37735849056603776,0.38172024988078,0.37719093862514347,0.3917014308053565
122,0.38887506572258823,0.38516736313367944,0.3905874058270191,0.3693877461302759,0.39934190084707344
123,0.4022729038294173,0.39118230551686295,0.38723518833514825,0.3778503633430195,0.40036063018596907
124,0.40463722820121073,0.39329281161622553,0.3929663988857661,0.4002708037508078,0.40188872419431243
125,0.4148826338123154,0.37904689544552783,0.3981569291957598,0.3847743228807189,0.4039261828721036
126,0.3979946025852198,0.3942425393609388,0.39469657565576405,0.3833455693253206,0.41564157026940296
127,0.4068889656981568,0.39878012747456837,0.39826506524388466,0.4024688861437282,0.40881608369880246
128,0.4012596219557916,0.3923430838715124,0.4002115141101322,0.39543502248638285,0.4074917355582382
