Date,"Excess male mortality, Inheritance Data",ED_4_max,ED_4_min,Obituaries in social media
2022-02-21,625.9098061794825,733.5225374306617,549.3834356729466,6
2022-02-28,813.3735718032859,945.4272776112597,717.4025463065926,108
2022-03-07,827.6380155466003,991.4134816425681,719.8116059540185,246
2022-03-14,427.64068213094396,500.5001529000441,374.8926219528366,398
2022-03-21,552.4703483437355,649.1151320418915,484.6433109455784,404
2022-03-28,490.07623480389253,581.9938284662728,428.0021297746612,320
2022-04-04,434.45902410067737,509.76957666243186,379.2880669953682,281
2022-04-11,365.0745262502512,433.11945830340403,317.6972195522999,202
2022-04-18,447.6232491244718,534.4251114305282,389.75044365515816,188
2022-04-25,375.16389254046544,439.283788520622,329.3916914696555,291
2022-05-02,430.19544369717255,510.4039321439942,374.1714128314478,273
2022-05-09,227.23314749653346,264.10504792845035,200.6058872928119,286
2022-05-16,446.064289011824,520.0868609219483,392.7708122047451,271
2022-05-23,307.6378003109181,362.90742451398376,268.89536062887817,313
2022-05-30,351.6051475819641,409.9417689163321,309.9214905300437,301
2022-06-06,223.48516875803477,265.46596929488857,194.13247378769523,275
2022-06-13,270.40411248649093,322.79589404407795,233.81167658752878,244
2022-06-20,316.46497701779634,373.3750655918056,276.704682094031,281
2022-06-27,367.75724664164954,446.28696992050254,315.4839285706033,249
2022-07-04,373.84047956183997,443.9285465330751,325.06682806664213,248
2022-07-11,240.7053426678629,284.0196841834449,210.49427792347106,213
2022-07-18,253.53418199593213,300.1694708640165,221.12704029672403,212
2022-07-25,193.26482868369703,239.58046651143837,162.53548108523967,181
2022-08-01,244.55324090338763,291.33643382042555,211.09910569684126,159
2022-08-08,238.54776147652825,273.44931151207027,209.63447054715704,167
2022-08-15,319.284441942473,389.19849655923076,273.5522245088417,165
2022-08-22,341.92933325102405,429.649906854153,287.0084784478523,166
2022-08-29,487.3972107567818,577.4469720913254,424.0941031041825,173
2022-09-05,429.49428636239395,498.36126782146994,377.90793135159316,259
2022-09-12,425.68113474516736,522.3221732763408,363.0503325910509,231
2022-09-19,660.5804421049538,799.3716048106803,568.1836755626463,223
2022-09-26,556.6173512050638,649.5862824070939,489.182140976751,238
2022-10-03,636.8079341201877,744.0559249457051,559.5033315377284,315
2022-10-10,692.4415703598557,820.2238818148086,601.5036930592462,303
2022-10-17,659.7498321726418,786.3552498436366,571.8892606588857,279
2022-10-24,703.5103091401713,834.4621145055212,611.7572652396948,275
2022-10-31,730.8588819030019,857.0596357561316,640.5106661557887,279
2022-11-07,861.8244253231649,1021.4462251998132,750.2449516477647,336
2022-11-14,763.1746836954107,895.3486738443254,668.0097016917332,293
2022-11-21,549.853445174691,661.3040626932409,474.8171761069187,270
2022-11-28,943.0287697062852,1133.642340056078,813.4175408781176,231
2022-12-05,1171.605616311487,1399.9096747184858,1013.0135685014715,366
2022-12-12,1111.7965365614696,1333.6666933583788,958.4731203544832,251
2022-12-19,1208.8775157563584,1441.1292341552326,1045.4712523211604,374
2022-12-26,1660.1951575793469,1980.0311615484952,1436.8436208549656,283
2023-01-02,1549.7188961980148,1858.4530953464262,1335.749677882017,342
2023-01-09,1616.2473130275444,1978.8803878809183,1375.8685386366865,562
2023-01-16,1427.9320964862852,1714.1398111370308,1231.477908967821,548
2023-01-23,1390.0228463340054,1644.0475334831176,1208.1765320258523,692
2023-01-30,1550.3879996678481,1831.911004177973,1349.8504266117766,725
2023-02-06,1549.786543924767,1854.4749901685377,1337.5914447606408,652
2023-02-13,1490.9513831014233,1795.3415416332955,1280.8339153400052,682
2023-02-20,1230.6384752349118,1464.1171613729487,1065.4820975751727,888
2023-02-27,1310.6513383426122,1572.649650047551,1130.259383872733,846
2023-03-06,982.3830465314425,1179.2034468077636,845.1532790471597,684
2023-03-13,1143.1666802121667,1373.1069457684812,985.0690890793317,787
2023-03-20,1207.8241140311202,1441.4119216748445,1043.4987662292613,752
2023-03-27,976.3311422415171,1198.150276883503,828.790865733879,796
2023-04-03,838.3415868093552,982.316521602816,731.3424956905724,561
2023-04-10,703.8743409184749,859.2936538075967,597.5003674113984,582
2023-04-17,891.3099672278275,1112.0234062948284,749.183896334845,764
2023-04-24,550.4996016609775,649.3650213653523,477.880977538268,471
2023-05-01,502.619426967821,605.4877527907377,429.1488648464216,487
2023-05-08,525.5211313973359,637.5935557028416,448.5295292170458,549
2023-05-15,385.9621240177463,450.7753163265666,337.26999350389883,426
