Age,ED_4,"Rosstat mortality data (excess male mortality), 2022","Obituaries in social media, 2022"
15,309.5890655986148,352.9806701706234,183.97236285168893
20,2721.3396552246254,3068.8440765089454,2815.831770271392
25,3619.9786461828658,3960.784809235253,2693.964727363267
30,3971.749669666899,4263.655923665829,2732.6340775168064
35,5379.502773853949,6046.708752227409,2391.6407170719563
40,3838.197579078,2692.3489261179784,1601.8485351481452
45,4919.074007682414,3208.576773892048,1027.6672752925554
50,,989.7133051870404,430.05004564694167
55,,82.57505172755918,192.17495227819737
