DaysToRequest,tail_coeffs,tail_coeffs_std
0,147.70034735887515,10.69485533123927
1,72.80856080197995,6.744026192064052
2,49.30257528396807,5.164180527743342
3,37.029844755235594,3.9851315936304026
4,30.334031012565408,3.308477043294465
5,25.683272068525007,2.851528688694233
6,21.414633456756242,2.3002017052393358
7,18.05842552356379,1.9311145860883547
8,15.8622989788316,1.6752709852156435
9,14.366657340696097,1.471915386062209
10,13.220237896063958,1.3442432498685757
11,12.32605250529978,1.2420938130936132
12,11.501082101902892,1.1570431407895296
13,10.578335353523974,1.0474789698694995
14,9.678669169187003,0.9428721074072397
15,9.030300868241886,0.8683310974675559
16,8.549936517986836,0.8087793960407444
17,8.14854520927521,0.7590622578093796
18,7.814153746340635,0.7206282185886919
19,7.505627687148016,0.6929198983602786
20,7.14031987149194,0.6496453986425534
21,6.7618628900472135,0.6004704104806667
22,6.47207152158259,0.5718185002472225
23,6.2465898517196425,0.543892829223963
24,6.052736089713714,0.5192000058171456
25,5.887233686021696,0.4991086966801673
26,5.7324383570528346,0.4811337780899867
27,5.547878533725354,0.4594804264658846
28,5.347766120505909,0.4336903622669706
29,5.190264302680181,0.4170373557824892
30,5.063161698857928,0.40105344372449026
31,4.952675006578074,0.38904584954838267
32,4.857358637020135,0.37761398099022825
33,4.765166840077326,0.36793106676905035
34,4.648115444603151,0.35581643786735173
35,4.515110651933063,0.34051811068716714
36,4.403122504476772,0.327788580825268
37,4.311111163240421,0.31755456385799385
38,4.226278567783296,0.30850631914344856
39,4.145424923505544,0.3012634642757515
40,4.063902052250832,0.2936720635805825
41,3.9630347253851235,0.28345129050935297
42,3.851233340067396,0.2716015841792419
43,3.7607685425280764,0.2619946678239106
44,3.689687573218164,0.2539102130197198
45,3.6251069146010435,0.24818936182352339
46,3.567748033875907,0.24160578203192515
47,3.5106989436841496,0.2361367225691617
48,3.4406540733435507,0.22894649287300364
49,3.3618562547610886,0.22129474340271296
50,3.296864745252825,0.21497426436038883
51,3.2440269031964455,0.20827360133088438
52,3.1960653318817114,0.20314273000748276
53,3.15437614748393,0.19904170412920982
54,3.1134348529066345,0.19568543822325069
55,3.063202702924589,0.1906113857521091
56,3.005450219951309,0.1849839308475962
57,2.9569549846282426,0.1794720614296156
58,2.9178514253427617,0.1753696200002818
59,2.8820038805634285,0.17178536440447323
60,2.850218891776751,0.16865020870469855
61,2.8189678432842915,0.16599043237844807
62,2.779839417220427,0.16206093170258096
63,2.734255412238749,0.15733182818669494
64,2.6964929904339106,0.15405955108595337
65,2.6656693794692616,0.15031811410246385
66,2.6376373247391136,0.14754468096149484
67,2.6127290672731167,0.14566555776237866
68,2.5883366307999465,0.1437077559948597
69,2.557685703687241,0.14106267446769316
70,2.521943666339437,0.13708568638315696
71,2.491724419371156,0.13374198008148774
72,2.467286657818753,0.130918158341344
73,2.4451661965536298,0.12894070945511563
74,2.425297404972828,0.12753242508184282
75,2.405409155798183,0.1260138829642683
76,2.380192566614703,0.1235434130527505
77,2.351013168350439,0.12076957235631477
78,2.326126645965209,0.1183846288587757
79,2.3062051209414856,0.11592257538966354
80,2.2874514206284475,0.11424640365999685
81,2.2705671953475473,0.11294725317392708
82,2.253762363723803,0.11153456690314827
83,2.2326954274499795,0.10988005119477726
84,2.207713767536422,0.10724551335464076
85,2.186500813944238,0.1050191196314576
86,2.169094561232873,0.10300188748321422
87,2.15326827492473,0.10148084789009797
88,2.1387545802409043,0.1002007989942771
89,2.1242314185122875,0.09897005382832606
90,2.1058334690479406,0.0971031595517988
91,2.083948133436369,0.09486768762313125
92,2.0650661188265813,0.0927890238720852
93,2.0499112655253873,0.09138778590988764
94,2.036094982189622,0.09029241204387557
95,2.0234132664135642,0.08941178328128967
96,2.010498256401783,0.08857629700585185
97,1.9943102393868366,0.08699764847651692
98,1.9752563599944541,0.08519013074053276
99,1.9586177243580387,0.08341464163600755
100,1.9451317935110155,0.08200810382611633
101,1.93263363296763,0.08108472627571704
102,1.9213644594266697,0.08012123879299171
103,1.909785562073397,0.0791581794131342
104,1.895037752201734,0.07810373502018715
105,1.8776608410875373,0.07658776896207362
106,1.8629180946002422,0.0753900798423014
107,1.8506764693995454,0.0741405927748087
108,1.8395362682883483,0.0730172921518954
109,1.8293715563742843,0.07221994596044048
110,1.818980060287379,0.07165260852971819
111,1.805457285108806,0.07062026876957296
112,1.7897065946095967,0.06916836830069521
113,1.7760919417611631,0.06784374397948448
114,1.7647609793473193,0.06662014781735007
115,1.7542575806728962,0.0658865315331499
116,1.7448378764034576,0.06515276177302831
117,1.7351332769723058,0.06457157322946672
118,1.7226936799739954,0.0635748664440401
119,1.7077799236275628,0.06217947909190751
120,1.694817236911661,0.0611558111393268
121,1.6839284852582737,0.06017508801790022
122,1.6737288734308682,0.059397632632283155
123,1.664574697268625,0.058702420104892225
124,1.6552519079490307,0.058100178450084666
125,1.6433722021380661,0.05719919889886179
126,1.6291476604898119,0.05617120351586543
127,1.6170244873812103,0.05520115832501578
128,1.6069320140286536,0.05437148745643563
129,1.5976947646980393,0.053675507716705304
130,1.5893249139749521,0.05312777491975722
131,1.580754594082018,0.05258319761800928
132,1.5695543596201542,0.051861964851217635
133,1.556285850210761,0.05090397242924974
134,1.545003897576337,0.04990785099965515
135,1.535511356934894,0.04896778128596075
136,1.526675475397746,0.048341648616793007
137,1.5187082964062466,0.047769774705205
138,1.5104784412089052,0.047263160541776185
139,1.499609147212855,0.04650796299464559
140,1.4867870417773463,0.04548826290071351
141,1.475757903430591,0.044542185625693335
142,1.4666706744015052,0.04380685306636982
