Patronim,Sex,count
парфирьевна,0,1615
титович,1,1609
адольфович,1,1595
корнеевич,1,1593
филимоновна,0,1590
рафаилович,1,1581
андрианович,1,1569
ионовна,0,1566
мефодьевич,1,1555
закиевич,1,1554
трифонович,1,1548
устинович,1,1545
мефодьевна,0,1535
елисеевна,0,1535
исаакович,1,1534
сабировна,0,1533
юсупович,1,1528
самуиловна,0,1524
робертович,1,1522
филимонович,1,1514
исакович,1,1511
исмагиловна,0,1503
галиевич,1,1502
фадеевна,0,1499
абдрахманович,1,1483
махмутович,1,1480
глебович,1,1469
исаковна,0,1444
тагирович,1,1442
сулейманович,1,1423
мухаметович,1,1421
маратович,1,1412
гордеевна,0,1411
зуфарович,1,1394
абдрахмановна,0,1386
гурьевич,1,1380
ахатович,1,1377
исааковна,0,1368
мартынович,1,1365
исмаилович,1,1353
самуилович,1,1346
исхакович,1,1343
хусаинович,1,1322
харисовна,0,1319
капитоновна,0,1314
каримович,1,1312
ахмедович,1,1309
султановна,0,1303
хакимович,1,1298
салиховна,0,1281
ниловна,0,1275
ионович,1,1252
парфирьевич,1,1251
хабибуллович,1,1245
фадеевич,1,1242
усманович,1,1240
генриховна,0,1236
елисеевич,1,1223
исламович,1,1216
хабибулловна,0,1195
куприяновна,0,1194
куприянович,1,1192
валериевна,0,1190
гордеевич,1,1172
гарифович,1,1169
мансуровна,0,1167
шарипович,1,1162
габдуллович,1,1162
михеевна,0,1154
галимович,1,1146
юсуповна,0,1141
глебовна,0,1137
давидовна,0,1128
климентьевна,0,1127
сулеймановна,0,1125
исхаковна,0,1124
валерианович,1,1106
капитонович,1,1102
алиевна,0,1100
брониславович,1,1099
ксенофонтовна,0,1077
файзрахманович,1,1073
францевна,0,1072
габдрахманович,1,1060
дорофеевна,0,1059
гарифовна,0,1059
ильясович,1,1056
абдулович,1,1056
галиевна,0,1048
газизович,1,1048
рафикович,1,1047
валерьянович,1,1046
елизаровна,0,1045
демидовна,0,1039
рамазановна,0,1037
ринатович,1,1035
закиевна,0,1035
хусаиновна,0,1034
касимович,1,1033
дементьевна,0,1032
галимзянович,1,1032
мухаметовна,0,1032
рудольфовна,0,1030
никоновна,0,1028
фатыхович,1,1027
никаноровна,0,1024
сагитович,1,1022
климентьевич,1,1018
адольфовна,0,1017
феоктистовна,0,1014
шариповна,0,1014
хакимовна,0,1011
хайдарович,1,1009
феофановна,0,1009
ксенофонтович,1,1007
маркеловна,0,1007
францевич,1,1006
каримовна,0,1002
абдуловна,0,997
хамитовна,0,992
талгатович,1,988
хафизович,1,988
габдрахмановна,0,987
нилович,1,986
рашитовна,0,983
махмутовна,0,982
пантелеймоновна,0,980
леоновна,0,974
валиевич,1,973
аверьяновна,0,967
ульяновна,0,966
никитьевич,1,965
равильевич,1,962
хайруллович,1,960
никонович,1,957
усмановна,0,957
амирович,1,953
тагировна,0,953
никитьевна,0,952
габдулловна,0,942
рахимович,1,939
халилович,1,937
гумерович,1,937
идрисович,1,935
гурьевна,0,929
леонович,1,922
хафизовна,0,921
соломонович,1,919
ульянович,1,914
фатихович,1,912
хайрулловна,0,910
викентьевич,1,908
парфеновна,0,904
бариевич,1,903
пантелеймонович,1,903
гарифуллович,1,877
галеевич,1,869
юнусович,1,868
файзрахмановна,0,867
курбанович,1,863
галимовна,0,861
исмаиловна,0,861
агзамович,1,860
евграфовна,0,860
сафроновна,0,858
аронович,1,856
фридрихович,1,853
никанорович,1,852
нургалиевич,1,846
гарифулловна,0,841
демидович,1,835
исламовна,0,832
рашидович,1,831
елизарович,1,829
галимьянович,1,827
суренович,1,827
газизовна,0,825
ахатовна,0,825
дорофеевич,1,823
анваровна,0,819
феоктистович,1,818
еремеевна,0,815
камилович,1,813
феофанович,1,812
нуруллович,1,806
артурович,1,801
феликсович,1,799
загитович,1,798
брониславовна,0,797
соломоновна,0,797
рафаиловна,0,797
равилович,1,791
михеевич,1,790
викентьевна,0,788
галимзяновна,0,787
дементьевич,1,786
асхатович,1,785
аверьянович,1,782
игнатович,1,782
евграфович,1,782
гаджиевич,1,776
рифович,1,773
маркелович,1,773
якубович,1,771
нурисламович,1,770
фаритовна,0,769
зарипович,1,768
каюмович,1,764
гарипович,1,755
зайнуллович,1,755
валеевич,1,750
самойловна,0,749
саркисович,1,748
самсоновна,0,742
рахимовна,0,734
селиверстовна,0,734
робертовна,0,732
валериановна,0,731
салимович,1,726
гильмутдинович,1,726
касимовна,0,725
потаповна,0,720
миниахметович,1,720
абдулхакович,1,718
галеевна,0,716
фатыховна,0,715
гаязович,1,714
кимович,1,713
варфоломеевна,0,708
махмудович,1,708
идрисовна,0,707
нургалиевна,0,704
валиевна,0,704
шамильевич,1,698
назипович,1,695
халиловна,0,695
ханифович,1,694
еремеевич,1,693
самсонович,1,692
юнусовна,0,688
кириловна,0,687
вагизович,1,686
садыкович,1,686
гумеровна,0,685
мидхатович,1,684
русланович,1,678
нурмухаметовна,0,677
христофоровна,0,675
каюмовна,0,674
шарифуллович,1,674
ануфриевна,0,674
самойлович,1,673
казимирович,1,673
фатиховна,0,672
ахмедовна,0,670
ильясовна,0,669
мухамедович,1,669
